author:mi, total:    9
author:wi, total:    9
author:th, total:    9
author:wa, total:    9
author:wi, total:    9
author:do, total:    9
author:mo, total:    9
author:ro, total:    9
author:hj, total:    9
author:jw, total:    9
author:ra, total:    9
author:dl, total:    9
author:f9, total:    9
author:pu, total:    9
author:js, total:    9
author:hi, total:    9
author:sk, total:    9
author:pi, total:    9
author:zi, total:    9
author:ca, total:    9
author:ba, total:    9
author:ko, total:    9
author:no, total:    9
author:kw, total:    9
author:so, total:    9
author:pd, total:    9
author:yh, total:    9
author:si, total:    9
author:le, total:    9
author:ge, total:    9
author:ga, total:    9
author:re, total:    9
author:yo, total:    9
author:hu, total:    9
author:me, total:    9
author:ja, total:    9
author:jj, total:    9
author:cm, total:    9
author:th, total:    9
author:ll, total:    9
author:oo, total:    9
author:ha, total:    9
author:be, total:    9
author:is, total:    9
author:qk, total:    9
author:qk, total:    9
author:s8, total:    9
author:ch, total:    9
author:xf, total:    9
author:hd, total:    9
author:dr, total:    9
author:jy, total:    9
author:jh, total:    9
author:mo, total:    9
author:po, total:    9
author:9h, total:    9
author:dk, total:    9
author:po, total:    9
author:pa, total:    9
author:fi, total:    9
author:ko, total:    9
author:aw, total:    9
author:ko, total:    9
author:re, total:    9
author:kt, total:    9
author:ev, total:    9
author:ke, total:    9
author:sh, total:    9
author:su, total:    9
author:ka, total:    9
author:pc, total:    9
author:en, total:    9
author:aw, total:    9
author:ls, total:    9
author:ka, total:    8
author:bl, total:    8
author:ji, total:    8
author:pu, total:    8
author:so, total:    8
author:sg, total:    8
author:la, total:    8
author:ds, total:    8
author:un, total:    8
author:xg, total:    8
author:ri, total:    8
author:ip, total:    8
author:ys, total:    8
author:mi, total:    8
author:sw, total:    8
author:ce, total:    8
author:tw, total:    8
author:ej, total:    8
author:ha, total:    8
author:re, total:    8
author:la, total:    8
author:ji, total:    8
author:su, total:    8
author:po, total:    8
author:si, total:    8
author:qu, total:    8
author:fi, total:    8
author:ed, total:    8
author:ng, total:    8
author:yo, total:    8
author:si, total:    8
author:ri, total:    8
author:cl, total:    8
author:ch, total:    8
author:wh, total:    8
author:EN, total:    8
author:da, total:    8
author:ze, total:    8
author:cl, total:    8
author:mo, total:    8
author:we, total:    8
author:su, total:    8
author:ra, total:    8
author:st, total:    8
author:kb, total:    8
author:ru, total:    8
author:bl, total:    8
author:BK, total:    8
author:gu, total:    8
author:us, total:    8
author:to, total:    8
author:sa, total:    8
author:pa, total:    8
author:me, total:    8
author:kk, total:    8
author:uk, total:    8
author:ky, total:    8
author:oc, total:    8
author:li, total:    8
author:pt, total:    8
author:po, total:    8
author:ji, total:    8
author:si, total:    8
author:fu, total:    8
author:le, total:    8
author:tp, total:    8
author:er, total:    8
author:Or, total:    8
author:ai, total:    8
author:ch, total:    8
author:so, total:    8
author:jj, total:    8
author:he, total:    8
author:in, total:    8
author:yd, total:    8
author:ar, total:    8
author:sk, total:    8
author:pi, total:    8
author:le, total:    8
author:sh, total:    8
author:sh, total:    8
author:di, total:    8
author:da, total:    8
author:fi, total:    8
author:tu, total:    8
author:go, total:    8
author:ko, total:    8
author:hi, total:    8
author:no, total:    8
author:ks, total:    8
author:em, total:    8
author:ha, total:    8
author:ku, total:    8
author:as, total:    8
author:ru, total:    8
author:aq, total:    8
author:ne, total:    8
author:lu, total:    8
author:al, total:    8
author:se, total:    7
author:ac, total:    7
author:wj, total:    7
author:ww, total:    7
author:st, total:    7
author:ki, total:    7
author:me, total:    7
author:re, total:    7
author:hs, total:    7
author:ki, total:    7
author:da, total:    7
author:yu, total:    7
author:su, total:    7
author:qk, total:    7
author:se, total:    7
author:mi, total:    7
author:yu, total:    7
author:wo, total:    7
author:ta, total:    7
author:co, total:    7
author:si, total:    7
author:go, total:    7
author:ze, total:    7
author:cd, total:    7
author:wa, total:    7
author:sy, total:    7
author:ai, total:    7
author:pl, total:    7
author:ar, total:    7
author:eh, total:    7
author:ks, total:    7
author:se, total:    7
author:mi, total:    7
author:wa, total:    7
author:mh, total:    7
author:ki, total:    7
author:co, total:    7
author:ma, total:    7
author:pe, total:    7
author:in, total:    7
author:ni, total:    7
author:sa, total:    7
author:lo, total:    7
author:he, total:    7
author:jy, total:    7
author:ho, total:    7
author:hy, total:    7
author:jj, total:    7
author:cr, total:    7
author:hj, total:    7
author:ch, total:    7
author:nu, total:    7
author:ne, total:    7
author:in, total:    7
author:la, total:    7
author:kh, total:    7
author:qo, total:    7
author:ho, total:    7
author:fa, total:    7
author:bu, total:    7
author:jo, total:    7
author:rl, total:    7
author:de, total:    7
author:bo, total:    7
author:wl, total:    7
author:el, total:    7
author:ta, total:    7
author:ac, total:    7
author:ad, total:    7
author:ta, total:    7
author:gy, total:    7
author:va, total:    7
author:wj, total:    7
author:ua, total:    7
author:sd, total:    7
author:p3, total:    7
author:mb, total:    7
author:29, total:    7
author:ma, total:    7
author:go, total:    7
author:tv, total:    7
author:ks, total:    7
author:li, total:    7
author:qu, total:    7
author:kj, total:    7
author:ca, total:    7
author:id, total:    7
author:4g, total:    7
author:su, total:    7
author:sk, total:    7
author:wn, total:    7
author:be, total:    7
author:ap, total:    7
author:gi, total:    7
author:ne, total:    7
author:zu, total:    7
author:re, total:    7
author:bo, total:    7
author:wh, total:    7
author:co, total:    7
